Elect,Income,Unemp
4.84835053,4.042065957,0.055
5.14091826,4.025058873,0.055
5.01650814,4.018076088,0.056
4.95404976,4.012398662,0.056
5.39115914,4.010078112,0.057
4.93363398,3.994525395,0.057
5.1271032,3.992278829,0.057
4.9408115,3.983901016,0.057
4.86397745,3.998551061,0.057
4.87679857,4.005106716,0.056
4.93236695,4.001093709,0.057
5.03160455,3.983380188,0.057
4.87739619,3.969115163,0.059
5.10716887,3.945171828,0.062
4.9927922,3.905427751,0.064
5.04923025,3.876003625,0.066
4.94962274,3.872787891,0.068
4.93861432,3.850906445,0.07
4.95353086,3.85525683,0.073
4.57594837,3.882798391,0.077
4.33549315,3.870209618,0.083
4.17960461,3.819561517,0.089
3.98239447,3.777462824,0.095
4.21632692,3.764663556,0.1
4.04589506,3.748367416,0.103
4.02837057,3.733475591,0.106
3.93973676,3.697116337,0.107
3.93294814,3.698904696,0.107
4.3190337,3.694078196,0.107
4.12931888,3.694454844,0.108
4.40495705,3.68236738,0.108
4.06928877,3.655884168,0.109
4.23800008,3.637574742,0.11
4.1603454,3.629635621,0.11
4.11200246,3.648971011,0.109
4.51453767,3.674147097,0.108
4.31428157,3.704511086,0.105
4.60392412,3.729726341,0.103
4.54890813,3.748410665,0.101
4.47083006,3.753847335,0.099
4.79667366,3.76028249,0.098
4.28902317,3.770955939,0.098
4.49074606,3.784629198,0.097
4.43686823,3.816559348,0.096
4.37122742,3.845540885,0.094
4.31719062,3.870491772,0.092
4.20338567,3.878519198,0.091
4.64698614,3.869169416,0.09
4.40828427,3.865547898,0.09
4.51041388,3.877800951,0.09
4.40868094,3.908188313,0.09
4.82052275,3.923085375,0.09
4.65098843,3.92549271,0.089
4.67523731,3.924253079,0.087
4.72765273,3.927640011,0.085
4.42496513,3.93085485,0.082
4.11912914,3.945349729,0.08
4.45815265,3.956298426,0.077
4.5848809,3.974093239,0.076
4.51854338,3.987950241,0.075
4.82905448,3.994084306,0.074
4.6175971,4.000215887,0.074
4.51832721,4.001395817,0.073
4.58320449,4.017412653,0.072
4.65882423,4.042347556,0.072
4.16587768,4.076674532,0.072
4.45018333,4.090504505,0.072
4.09167358,4.073568536,0.073
3.90296498,4.025762423,0.074
4.46204767,3.97771704,0.075
4.15777231,3.947739861,0.075
4.48245836,3.974668987,0.075
4.279902,4.005534711,0.075
4.55928735,4.01597591,0.074
4.38057913,4.012705503,0.074
4.39367718,4.005231154,0.074
4.40952816,4.000402402,0.074
4.14645673,4.000355868,0.073
4.24466647,4.00713449,0.072
3.90294808,4.012369294,0.07
3.96768759,4.01629463,0.068
4.30663969,4.02086275,0.065
3.83393104,4.031924726,0.063
4.22752395,4.041129618,0.061
4.04275997,4.048879698,0.059
4.31571381,4.058856398,0.058
4.39832121,4.073451332,0.057
4.30166505,4.08612306,0.056
4.49798337,4.111223769,0.055
4.28493032,4.127769182,0.054
4.43275155,4.141249614,0.053
4.13158183,4.153504502,0.052
4.05544923,4.16988662,0.051
4.2706959,4.199878044,0.051
4.03620157,4.203771908,0.051
4.22607032,4.211134194,0.051
4.1279155,4.22258182,0.05
4.36230919,4.21805267,0.05
4.4052917,4.215299129,0.049
4.43592624,4.220275985,0.048
4.33739285,4.246407281,0.047
4.19495586,4.278761894,0.047
4.26033073,4.28595391,0.047
3.94818799,4.271427508,0.048
3.95139716,4.258665468,0.049
3.86700224,4.239854154,0.05
3.7955209,4.247666154,0.05
3.92494888,4.257147889,0.05
3.80225666,4.263238978,0.05
3.94820869,4.274466055,0.049
3.93332328,4.280281345,0.049
4.06474217,4.283868465,0.049
4.24976675,4.268618369,0.049
4.03632495,4.248054236,0.05
4.00656742,4.233735715,0.05
3.83354132,4.237226855,0.05
3.85020758,4.247993669,0.05
3.88961716,4.24953047,0.05
